Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
Turkey,Gasoline Prices,2016-07-31T00:00:00,1.45,Monthly,TurkeyGasPri,2016-08-04T16:33:00
Turkey,Gasoline Prices,2016-08-31T00:00:00,1.52,Monthly,TurkeyGasPri,2016-09-01T16:25:00
Turkey,Gasoline Prices,2016-09-30T00:00:00,1.58,Monthly,TurkeyGasPri,2016-10-12T16:55:00
Turkey,Gasoline Prices,2016-10-31T00:00:00,1.57,Monthly,TurkeyGasPri,2016-10-31T15:00:00
Turkey,Gasoline Prices,2016-11-30T00:00:00,1.49,Monthly,TurkeyGasPri,2016-12-06T12:42:00
Turkey,Gasoline Prices,2016-12-31T00:00:00,1.48,Monthly,TurkeyGasPri,2016-12-30T12:21:00
Turkey,Gasoline Prices,2017-01-31T00:00:00,1.43,Monthly,TurkeyGasPri,2017-01-31T17:47:00
Turkey,Gasoline Prices,2017-02-28T00:00:00,1.44,Monthly,TurkeyGasPri,2017-03-02T16:01:00
Turkey,Gasoline Prices,2017-03-31T00:00:00,1.42,Monthly,TurkeyGasPri,2017-04-03T12:34:00
Turkey,Gasoline Prices,2017-04-30T00:00:00,1.48,Monthly,TurkeyGasPri,2017-05-04T16:12:00
Turkey,Gasoline Prices,2017-05-31T00:00:00,1.45,Monthly,TurkeyGasPri,2017-06-05T10:17:00
Turkey,Gasoline Prices,2017-06-30T00:00:00,1.42,Monthly,TurkeyGasPri,2017-07-04T11:07:00
Turkey,Gasoline Prices,2017-07-31T00:00:00,1.48,Monthly,TurkeyGasPri,2017-08-01T11:54:00
Turkey,Gasoline Prices,2017-08-31T00:00:00,1.51,Monthly,TurkeyGasPri,2017-09-01T13:45:00
Turkey,Gasoline Prices,2017-09-30T00:00:00,1.49,Monthly,TurkeyGasPri,2017-09-29T14:40:00
Turkey,Gasoline Prices,2017-10-31T00:00:00,1.46,Monthly,TurkeyGasPri,2017-11-07T16:46:00
Turkey,Gasoline Prices,2017-11-30T00:00:00,1.45,Monthly,TurkeyGasPri,2017-12-05T13:08:00
Turkey,Gasoline Prices,2017-12-31T00:00:00,1.48,Monthly,TurkeyGasPri,2018-01-02T12:33:00
Turkey,Gasoline Prices,2018-01-31T00:00:00,1.55,Monthly,TurkeyGasPri,2018-01-31T16:25:00
Turkey,Gasoline Prices,2018-02-28T00:00:00,1.49,Monthly,TurkeyGasPri,2018-03-05T13:13:00
Turkey,Gasoline Prices,2018-03-31T00:00:00,1.5,Monthly,TurkeyGasPri,2018-04-03T12:45:00
Turkey,Gasoline Prices,2018-04-30T00:00:00,1.51,Monthly,TurkeyGasPri,2018-04-30T14:56:00
Turkey,Gasoline Prices,2018-05-31T00:00:00,1.38,Monthly,TurkeyGasPri,2018-05-29T16:01:00
Turkey,Gasoline Prices,2018-06-30T00:00:00,1.36,Monthly,TurkeyGasPri,2018-06-27T13:39:00
Turkey,Gasoline Prices,2018-07-31T00:00:00,1.29,Monthly,TurkeyGasPri,2018-07-27T12:18:00
Turkey,Gasoline Prices,2018-08-31T00:00:00,1.11,Monthly,TurkeyGasPri,2018-08-28T11:39:00
Turkey,Gasoline Prices,2018-09-30T00:00:00,1.17,Monthly,TurkeyGasPri,2018-09-27T15:07:00
Turkey,Gasoline Prices,2018-10-31T00:00:00,1.27,Monthly,TurkeyGasPri,2018-10-29T17:06:00
